Item Name, Trade Up Cost (GBP), Expected Value (GBP), Expected Profit (GBP), All Profit Outcomes (GBP)
AK-47 | Aquamarine Revenge (Battle-Scarred), 143.4, 0, -143.4, 
AK-47 | Aquamarine Revenge (Factory New), 972.5, 0, -972.5, 
AK-47 | Aquamarine Revenge (Field-Tested), 281.5, 0, -281.5, 
AK-47 | Aquamarine Revenge (Minimal Wear), 513.4000000000001, 0, -513.4000000000001, 
AK-47 | Aquamarine Revenge (Well-Worn), 183.0, 0, -183.0, 
AK-47 | Asiimov (Battle-Scarred), 188.5, 0, -188.5, 
AK-47 | Asiimov (Factory New), 1969.7, 0, -1969.7, 
AK-47 | Asiimov (Field-Tested), 265.59999999999997, 0, -265.59999999999997, 
AK-47 | Asiimov (Minimal Wear), 452.1, 0, -452.1, 
AK-47 | Asiimov (Well-Worn), 277.8, 0, -277.8, 
AK-47 | Baroque Purple (Battle-Scarred), 36.6, 19.0225, -17.5775, Dual Berettas | Emerald (Minimal Wear):36.6 - G3SG1 | Violet Murano (Battle-Scarred):16.82 - P90 | Baroque Red (Battle-Scarred):19.31 - SSG 08 | Orange Filigree (Battle-Scarred):3.36 - 
AK-47 | Baroque Purple (Factory New), 129.4, 18.535, -110.86500000000001, Dual Berettas | Emerald (Factory New):34.65 - G3SG1 | Violet Murano (Battle-Scarred):16.82 - P90 | Baroque Red (Battle-Scarred):19.31 - SSG 08 | Orange Filigree (Battle-Scarred):3.36 - 
AK-47 | Baroque Purple (Field-Tested), 38.4, 19.0225, -19.377499999999998, Dual Berettas | Emerald (Minimal Wear):36.6 - G3SG1 | Violet Murano (Battle-Scarred):16.82 - P90 | Baroque Red (Battle-Scarred):19.31 - SSG 08 | Orange Filigree (Battle-Scarred):3.36 - 
AK-47 | Baroque Purple (Minimal Wear), 45.9, 18.535, -27.365, Dual Berettas | Emerald (Factory New):34.65 - G3SG1 | Violet Murano (Battle-Scarred):16.82 - P90 | Baroque Red (Battle-Scarred):19.31 - SSG 08 | Orange Filigree (Battle-Scarred):3.36 - 
AK-47 | Baroque Purple (Well-Worn), 36.6, 19.0225, -17.5775, Dual Berettas | Emerald (Minimal Wear):36.6 - G3SG1 | Violet Murano (Battle-Scarred):16.82 - P90 | Baroque Red (Battle-Scarred):19.31 - SSG 08 | Orange Filigree (Battle-Scarred):3.36 - 
AK-47 | Black Laminate (Battle-Scarred), 245.5, 3.26, -242.24, Dual Berettas | Demolition (Battle-Scarred):3.26 - 
AK-47 | Black Laminate (Factory New), 1608.4, 3.26, -1605.14, Dual Berettas | Demolition (Battle-Scarred):3.26 - 
AK-47 | Black Laminate (Field-Tested), 234.7, 3.26, -231.44, Dual Berettas | Demolition (Battle-Scarred):3.26 - 
AK-47 | Black Laminate (Minimal Wear), 289.0, 3.26, -285.74, Dual Berettas | Demolition (Battle-Scarred):3.26 - 
AK-47 | Black Laminate (Well-Worn), 427.5, 3.26, -424.24, Dual Berettas | Demolition (Battle-Scarred):3.26 - 
